Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,,,
resultfinal8,2,1,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,817,91,89,2,0,97.8021978,2.197802198,0,0.957426901,0.015280852,0.121135598,4.515750765,29.48874663,110.5866366,60.38791304,50.19872357,1.215237765,0.66360344,0.551634325,106.2441469,1.167518098,96.07322385,0.965517241,56,0,0,1,33,0.034482759,2,1,0.965517241,0.98245614,0.954119923,0.998955068,0.999425287,0.978021978,0.005311355,0.994688645,0.021978022,0.979802605,0.978021978,0.978299159,0.957854038,0.997043616,0.990391008,0.965640516,0.978021978,0,0,0,0,0,0,50626,142390,40024,97.8021978,33.6996337,?,,,
resultfinal8,2,2,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,817,91,87,4,0,95.6043956,4.395604396,0,0.910587079,0.030148261,0.171260085,8.909322208,41.69084348,110.5866366,204.3587108,-93.77207423,1.215237765,2.245700119,-1.030462354,96.73827012,1.063057913,87.4773599,1,58,0.060606061,2,0.939393939,31,0,0,0.966666667,1,0.983050847,0.952932741,0.996865204,0.998230472,0.956043956,0.047419247,0.952580753,0.043956044,0.957590558,0.956043956,0.952045716,0.92749452,0.98157081,0.957193484,0.884573267,0.956043956,0,0,0,0,0,0,50626,142390,40024,95.6043956,33.6996337,?,,,
resultfinal8,2,3,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,817,91,86,5,0,94.50549451,5.494505495,0,0.895426339,0.036667596,0.191363487,10.83589605,46.58473228,110.5866366,169.7237996,-59.13716296,1.215237765,1.865096699,-0.649858934,99.50420596,1.093452813,89.97850825,0.965517241,56,0,0,1,33,0.034482759,2,1,0.965517241,0.98245614,0.954119923,0.991640543,0.995798218,0.945054945,0.004578755,0.995421245,0.054945055,0.967948718,0.945054945,0.951082573,0.927827058,0.990610488,0.959035571,0.886024585,0.945054945,0,0,0,0,0,0,50626,142390,40024,94.50549451,33.33333333,?,,,
resultfinal8,2,4,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,817,91,88,3,0,96.7032967,3.296703297,0,0.935169793,0.02221211,0.142581131,6.56405512,34.70935817,110.5866366,42.33107778,68.25555883,1.215237765,0.465176679,0.750061086,102.1704696,1.122752413,92.38952618,1,58,0,0,1,33,0,0,1,1,1,1,1,1,0.967032967,0.006227106,0.993772894,0.032967033,0.969340659,0.967032967,0.967808662,0.960150592,0.995578231,0.975329252,0.91372549,0.967032967,0,0,0,0,0,0,50626,142390,40024,97.8021978,34.06593407,?,,,
resultfinal8,2,5,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,817,91,91,0,0,100,0,0,1,9.63E-04,0.009385022,0.284658003,2.284650722,110.5866366,0.199043008,110.3875936,1.215237765,0.002187286,1.213050479,110.3875936,1.213050479,99.8200117,1,58,0,0,1,33,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,50626,142390,40024,100,33.6996337,?,,,
resultfinal8,2,6,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,817,91,91,0,0,100,0,0,1,1.65E-04,9.68E-04,0.04879859,0.235615777,110.5866366,0.032611259,110.5540254,1.215237765,3.58E-04,1.2148794,110.5540254,1.2148794,99.97051067,1,58,0,0,1,33,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,50626,142390,40024,100,33.33333333,?,,,
resultfinal8,2,7,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,817,91,90,1,0,98.9010989,1.098901099,0,0.978552911,0.010453711,0.093030459,3.089248679,22.64694848,110.5866366,61.16318913,49.42344748,1.215237765,0.672122958,0.543114807,107.6767855,1.183261379,97.36871358,0.982758621,57,0,0,1,33,0.017241379,1,1,0.982758621,0.991304348,0.976654471,0.996865204,0.998383621,0.989010989,9.16E-04,0.999084249,0.010989011,0.990384615,0.989010989,0.989329511,0.979722719,0.997086247,0.980092229,0.974879227,0.989010989,0,0,0,0,0,0,50626,142390,40024,98.9010989,33.6996337,?,,,
resultfinal8,2,8,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,817,91,90,1,0,98.9010989,1.098901099,0,0.97870847,0.007709455,0.085614264,2.263098147,20.68575744,111.7337764,11.02616644,100.70761,1.227843697,0.121166664,1.106677033,109.3669828,1.201834976,97.88175635,1,57,0,0,1,34,0,0,1,1,1,1,1,1,0.989010989,9.16E-04,0.999084249,0.010989011,0.990384615,0.989010989,0.989273619,0.986807592,0.999092425,0.994126112,0.97148847,0.989010989,0,0,0,0,0,0,50626,142390,40024,98.9010989,33.33333333,?,,,
resultfinal8,2,9,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,818,90,89,1,0,98.88888889,1.111111111,0,0.978448276,0.010852285,0.093279792,3.198205199,22.63729478,109.9297827,47.48050522,62.44927751,1.22144203,0.527561169,0.693880861,106.9618354,1.188464838,97.30014264,0.98245614,56,0,0,1,33,0.01754386,1,1,0.98245614,0.991150442,0.976504158,0.996810207,0.998329156,0.988888889,9.37E-04,0.999062918,0.011111111,0.990277778,0.988888889,0.989210095,0.979656364,0.997845929,0.99755291,0.974827925,0.988888889,0,0,0,0,0,0,50626,142531,39883,98.88888889,33.7037037,?,,,
resultfinal8,2,10,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,818,90,89,1,0,98.88888889,1.111111111,0,0.978287093,0.007503859,0.086068587,2.211412629,20.88726774,109.9297827,113.6613247,-3.731541957,1.22144203,1.262903608,-0.041461577,107.623418,1.195815756,97.90196556,1,57,0,0,1,33,0,0,1,1,1,1,1,1,0.988888889,9.37E-04,0.999062918,0.011111111,0.990277778,0.988888889,0.989150327,0.986739522,0.997674029,0.978298319,0.97124183,0.988888889,0,0,0,0,0,0,50626,142531,39883,98.88888889,33.33333333,?,,,
